sent_id,sentence_text,token_form,gold_karaka,deprel,case_marker,final_candidates,corrected_candidates,diagnostic_flag
dev-s1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,कुशावती,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s13,"यह मंदिर उसी स्‍थान पर बनाया गया है, जहाँ से यह मूर्ति निकाली गई थी ।",मंदिर,Karta,obj,,Karma,Karma,possible_passive_karta
dev-s13,"यह मंदिर उसी स्‍थान पर बनाया गया है, जहाँ से यह मूर्ति निकाली गई थी ।",मूर्ति,Karta,obj,,Karma,Karma,possible_passive_karta
dev-s26,मूर्ति भगवान बुद्ध के बोधि प्राप्‍त करने से पूर्व की ध्‍यान मुद्रा में है ।,बोधि,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s29,इन सभी स्‍थानों पर इन भस्‍मों और अस्‍थियों के ऊपर स्‍तूप बनाए गए ।,स्‍तूप,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s31,करीब 50 फुट ऊँचे इस स्‍तूप को मुकुट बंधन विहार कहा जाता है ।,स्‍तूप,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s32,हालाँकि स्‍थानीय वाशिंदों में यह रामाभार स्‍तूप के नाम से ही आज भी जाना जाता है ।,यह,Karta,obj,,Karma,Karma,possible_passive_karta
dev-s44,मंदिर के शीर्ष पर सोने की परत लगाई गई है ।,परत,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s52,मंदिर के शीर्ष पर सोने की परत लगाई गई है ।,परत,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s53,पौधों का विशेष आकार भी पर्यटकों को अपनी ओर खींचता है ।,पर्यटकों,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s55,लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,परत,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s55,लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,फोटो,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s55,लोग बरबस इस सोने की परत चढ़े चैत्‍य के साथ फोटो खींचना चाहते हैं ।,खींचना,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s62,इसमें कछुओं और बतख के साथ ही मछलियों को अठखेलियाँ करते देखना बहुत अच्‍छा लगता है ।,मछलियों,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s83,"प्रागैतिहासिक काल से ऋषि - मुनियों और साधक, परिव्राजकों को यह आकर्षित करता आ रहा है ।",यह,Karta,obj,,Karma,Karma,possible_passive_karta
dev-s89,इसके पश्चात केदारनाथ का हिमनद और उससे निकलने वाली मंदाकिनी अपने में असंख्य पाषाण खंडों को फोड़कर निकले झरनों और फव्वारों के जल को समेटे उद्दाम गति से प्रवाहित होती दिखाई देती है ।,खंडों,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s89,इसके पश्चात केदारनाथ का हिमनद और उससे निकलने वाली मंदाकिनी अपने में असंख्य पाषाण खंडों को फोड़कर निकले झरनों और फव्वारों के जल को समेटे उद्दाम गति से प्रवाहित होती दिखाई देती है ।,जल,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s90,"इन सबके ऊपर केदारनाथ का 6 हजार 940 मीटर ऊँचा हिमशिखर ऐसा दिखाई देता है, मानो स्वर्ग में रहने वाले देवताओं का मृत्युलोक को झाँकने का यह झरोखा हो ।",मृत्युलोक,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s92,"यह उत्तराखंड का सबसे विशाल शिव मंदिर है, जो कटवाँ पत्थरों के विशाल शिलाखंडों को जोड़कर बनाया गया है ।",शिलाखंडों,Karma,obj,को,Karma|Sampradāna,Karma|Sampradāna,possible_passive_karta
dev-s107,यहाँ महात्मा गाँधी की अस्थि विसर्जन किए जाने से इसे गाँधी स्मारक भी कहते हैं ।,इसे,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s114,उन्होंने मुशर्रफ पर एजेंडा बदलने और पीछे हटने का आरोप भी लगाया ।,एजेंडा,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s117,उन्होंने यह भी कहा कि तब तत्कालीन भारतीय प्रधानमंत्री अटल बिहारी वाजपेयी ने खुद अपनी मर्जी से लाहौर की यात्रा की थी और लाहौर घोषणा पर हस्ताक्षर हुआ था ।,यह,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s121,अब तो मुशर्रफ एक बयान देते हैं और अगले दिन उस पर पलट जाते हैं ।,बयान,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s123,शरीफ का यह भी कहना है कि पाकिस्तान के परमाणु वैज्ञानिकों के खिलाफ मुकदमा चलाया जाना गलत है ।,यह,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s123,शरीफ का यह भी कहना है कि पाकिस्तान के परमाणु वैज्ञानिकों के खिलाफ मुकदमा चलाया जाना गलत है ।,मुकदमा,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s127,"उन्होंने कहा कि मुशर्रफ की सरकार ने तब सौदेबाजी करने की कोशिश की थी, लेकिन उन्होंने इससे इनकार कर दिया था ।",इससे,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s132,"परमाचार्य के दिसंबर १९९३ में मुक्ति प्राप्त करने के बाद से हर वर्ष आराधना समारोह आयोजित किया जाता है, जिसमें बड़ी संख्या में श्रद्धालु हिस्सा लेते हैं ।",मुक्ति,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s132,"परमाचार्य के दिसंबर १९९३ में मुक्ति प्राप्त करने के बाद से हर वर्ष आराधना समारोह आयोजित किया जाता है, जिसमें बड़ी संख्या में श्रद्धालु हिस्सा लेते हैं ।",समारोह,Karma,obj,,Karma,Karma,possible_passive_karta
dev-s133,"हालांकि इस बार जयेंद्र सरस्वती की गैरमौजूदगी मौके पर मौजूद विशिष्ट व्यक्तियों के बीच चर्चा का विषय जरूर रही, लेकिन देश भर से आने वाले श्रद्धालुओं की संख्या में कोई कमी नहीं देखी गई ।",कमी,Karta,obj,,Karma,Karma,possible_passive_karta
dev-s134,समारोह के दौरान कनिष्ठ आचार्य विजयेंद्र सरस्वती ने यज्ञ और भजन के बाद पूर्ण आहुति देने के बाद स्वर्ण कलश ग्रहण किया ।,कलश,Karma,obj,,Karma,Karma,possible_passive_karta
