sent_id,occurrence_index,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,gold_final_candidates,stanza_final_candidates,deprel_agree,case_marker_agree,rule_id_agree,final_decision_agree
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,ईसा,compound,obl,,पूर्व,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,no,yes,no
dev-s1024,1,उन्होंने कहा 'मेरा हमेशा से मानना है कि व्यवस्थित अर्थ - व्यवस्था और सामाजिक दायित्वों की पूर्ति के लिए राजस्व सुधार बहुत जरूरी है,हमेशा,advmod,advmod,से,,,,no_decision,no_decision,,,yes,no,yes,yes
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,भूमि,nsubj,obj,को,,,,mapping_hypothesis,mapping_hypothesis,Kartā,Karma,no,no,yes,yes
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,मनुष्य,conj,iobj,,को,,R5,no_decision,ambiguous,,Karma|Sampradāna,no,no,no,no
dev-s1041,1,भारतीय किसानों ने उर्वरकों और समय का सही इस्तेमाल कर यह कमाल दिखाया ।,उर्वरकों,nmod,nmod,का,,,,no_decision,no_decision,,,yes,no,yes,yes
dev-s1041,1,भारतीय किसानों ने उर्वरकों और समय का सही इस्तेमाल कर यह कमाल दिखाया ।,समय,conj,conj,,का,,,no_decision,no_decision,,,yes,no,yes,yes
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,एजेंसियों,conj,conj,,ने,,,no_decision,no_decision,,,yes,no,yes,yes
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,बलों,nsubj,nsubj,ने,,R1,,confirmed,mapping_hypothesis,Kartā,Kartā,yes,no,no,no
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,पोजीशन,compound,nmod,,लिए,,,no_decision,no_decision,,,no,no,yes,yes
dev-s1134,1,यूपीए सरकार ने पंचायती राज संस्थाओं को मजबूत बनाने और स्थानीय निकायों को सामाजिक न्याय और आर्थिक विकास का जरिया बनाने का दावा करते हुए 27 मई 2004 को पंचायती राज मंत्रालय का गठन किया था ।,न्याय,nmod,nmod,,का,,,no_decision,no_decision,,,yes,no,yes,yes
