sent_id,occurrence_index,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,gold_final_candidates,stanza_final_candidates,deprel_agree,case_marker_agree,rule_id_agree,final_decision_agree
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,ईसा,compound,obl,,पूर्व,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,no,yes,no
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,पूर्व,obl,case,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1000,2,"लेकिन व्यापारियों का आंदोलन तब तक जारी रहेगा, जब तक दिल्ली के पाँच लाख व्यापारियों और उनसे जुड़े सौ लाख से अधिक लोगों से भय का वातावरण समाप्त नहीं हो जाता ।",लाख,nummod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1006,1,"इन सलाहों में हालात के आधार पर विनिवेश, बंदी या फिर बिक्री के विकल्प खुले होंगे ।",विकल्प,conj,nsubj,,,,,no_decision,mapping_hypothesis,,Kartā,no,yes,yes,no
dev-s1006,1,"इन सलाहों में हालात के आधार पर विनिवेश, बंदी या फिर बिक्री के विकल्प खुले होंगे ।",विनिवेश,obj,nmod,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1008,1,"चिदंबरम ने कहा कि मौजूदा वित्तीय वर्ष में ये और जो अन्य मामले विचाराधीन हैं, उनसे ४,००० करोड़ रुपये की उगाही की उम्मीद है ।",मामले,conj,nsubj,,,,,no_decision,mapping_hypothesis,,Kartā,no,yes,yes,no
dev-s1009,1,वित्त मंत्री ने कहा कि सीमित निजीकरण के बावजूद सरकार सार्वजनिक क्षेत्र के उपक्रमों पर अपना नियंत्रण रखने के प्रति दृढ़ है ।,रखने,obl,advcl,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1018,1,उन्होंने कहा है कि कृषि और औद्योगिक क्षेत्र को बढ़ावा देकर विकास की गति बढ़ाने पर जोर दिया गया है ।,जोर,obl,compound,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1019,1,"बृहस्पतिवार को संवाददाताओं से बात - चीत में प्रधानमंत्री ने कहा है कि तेजी से फैल रहे आर्थिक ढाँचे में गरीबी, अशिक्षा और बीमारी जैसी समस्याओं का समाधान पाया जा सकता है ।",समाधान,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1035,1,हरित क्रांति के जनक नोबल पुरस्कार विजेता डॉ. नार्मन बोर्लेग ने दो टूक कहा है कि सिर्फ जैविक खेती से दुनिया की भूख को नहीं मिटाया जा सकता ।,टूक,advmod,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1037,1,रासायनिक खादों के बिना खेती के अस्तित्व की बात करने वाले सिर्फ कल्पनाओं में ही जी रहे हैं ।,करने,nsubj,amod,,,,,mapping_hypothesis,no_decision,Kartā,,no,yes,yes,no
dev-s1037,1,रासायनिक खादों के बिना खेती के अस्तित्व की बात करने वाले सिर्फ कल्पनाओं में ही जी रहे हैं ।,खादों,obl,nmod,के,के,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,खादों,obl,nmod,से,से,R4,,ambiguous,no_decision,Karaṇa|Apādāna,,no,yes,no,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,मनुष्य,conj,iobj,,को,,R5,no_decision,ambiguous,,Karma|Sampradāna,no,no,no,no
dev-s1039,1,अमादलपुर के प्रगतिशील किसान सुरेंद्र सिंह के हारा फार्म को देखने पहुंचे बोर्लेग ने शुक्रवार को 'अमर उजाला' से बात - चीत में कहा कि साठ - सत्तर के दशक में जब बाकी दुनिया हरित क्रांति से रूबरू हो रही थी तब भारत अन्न के लिए दूसरे देशों का मुँह ताकता था ।,मुँह,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1041,1,भारतीय किसानों ने उर्वरकों और समय का सही इस्तेमाल कर यह कमाल दिखाया ।,कमाल,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1046,1,"हालांकि उन्होंने माना कि जैविक खाद बढ़िया है, लेकिन रासायनिक खादों की जगह नहीं ले सकती ।",जगह,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1054,1,"हारा ने बताया कि वे अपने खेतों से १० साल के चक्र में औसतन २० क्विंटल प्रति एकड़ लकड़ी की पैदावार कर रहे हैं, जो कि पश्चिमी देशों से भी ज्यादा है ।",देशों,nmod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1057,1,रासायनिक उर्वरकों के अंधाधुंध इस्तेमाल पर उन्होंने कहा कि जैविक खाद भी इस्तेमाल की जानी चाहिए ।,खाद,nsubj:pass,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1058,1,आयकर भवन में शुक्रवार की शाम को दो आतंकियों के दाखिल होने के बाद शुरू हुई मुठभेड़ २५ घंटे तक चलने के बाद शनिवार की शाम दूसरे आतंकी की मौत के साथ समाप्त हो गई ।,आतंकियों,nsubj,nmod,के,के,,,mapping_hypothesis,no_decision,Kartā,,no,yes,yes,no
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,बलों,nsubj,nsubj,ने,,R1,,confirmed,mapping_hypothesis,Kartā,Kartā,yes,no,no,no
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,वह,obj,nsubj:pass,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1066,1,शनिवार की सुबह ९.०० बजे सुरक्षा - बलों ने इमारत में तलाशी शुरू की ।,सुबह,nmod,obl,,,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,no
dev-s1070,1,"इसके बाद आतंकी तभी फायर करता था, जब सुरक्षाकर्मी इमारत के उस हिस्से में दाखिल होने का प्रयास करते, जहाँ वह पोजीशन लिए हुए था ।",पोजीशन,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1071,1,"शाम ४.३० बजे के करीब एसओजी के सुरक्षा - बलों ने आतंकी जिस कमरे में छिपा था, उसमें पहले हथगोले फेंके और बाद में फायरिंग की ।",शाम,obl,nmod,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,बाहर,obl,nmod,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1082,1,शनिवार को श्रीलंका के सरकारी रेडियो ने खबर दी कि पिछले हफ्ते सुनामी लहरों के तांडव में तमिल टाइगर प्रमुख वेलुपिल्लई प्रभाकरन और उसके खुफिया प्रमुख पोट्टू अम्मान मारे गए या लापता हैं ।,खबर,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
