sent_id,occurrence_index,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,gold_final_candidates,stanza_final_candidates,deprel_agree,case_marker_agree,rule_id_agree,final_decision_agree
dev-s1000,2,"लेकिन व्यापारियों का आंदोलन तब तक जारी रहेगा, जब तक दिल्ली के पाँच लाख व्यापारियों और उनसे जुड़े सौ लाख से अधिक लोगों से भय का वातावरण समाप्त नहीं हो जाता ।",लाख,nummod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,खादों,obl,nmod,से,से,R4,,ambiguous,no_decision,Karaṇa|Apādāna,,no,yes,no,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,मनुष्य,conj,iobj,,को,,R5,no_decision,ambiguous,,Karma|Sampradāna,no,no,no,no
dev-s1054,1,"हारा ने बताया कि वे अपने खेतों से १० साल के चक्र में औसतन २० क्विंटल प्रति एकड़ लकड़ी की पैदावार कर रहे हैं, जो कि पश्चिमी देशों से भी ज्यादा है ।",देशों,nmod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,बलों,nsubj,nsubj,ने,,R1,,confirmed,mapping_hypothesis,Kartā,Kartā,yes,no,no,no
dev-s1084,1,अखबार की रिपोर्ट के बाद विद्रोहियों की ओर से प्रभाकरन के नाम से श्रीलंका के सुनामी प्रभावित इलाकों में अंतर्राष्ट्रीय मदद की अपील की गई थी ।,नाम,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1092,1,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,आपदा,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1093,1,रेडियो रिपोर्ट में वाइस एडमिरल दया संदागिरी के हवाले से कहा गया है कि सुनामी से मची तबाही में प्रभाकरन और अम्मान या तो मारे गए या वे लापता हैं ।,तबाही,nmod,obl,में,में,,R2,no_decision,confirmed,,Adhikaraṇa,no,yes,no,no
dev-s1098,1,गोस्वामी कैंप ने महंत को दरकिनार कर दिया है ।,महंत,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,Kartā,Karma|Sampradāna,no,yes,no,no
dev-s1099,1,उनके समर्थकों ने दूसरी महिला से संबंध रखने के आरोप में उन्हें इस्तीफा देने के लिए मजबूर कर दिया था ।,महिला,iobj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Sampradāna,Karaṇa|Apādāna,no,yes,no,no
dev-s110,1,"नवाज शरीफ ने जेद्दा में एक अमेरिकी टेलीविजन चैनल से बातचीत करते हुए कहा कि उनकी सरकार भारत से समान संप्रभु भागीदार की हैसियत से बातचीत करती थी, लेकिन परवेज मुशर्रफ की नीति इसके उलट है ।",भारत,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1100,1,पार्टी के संस्थापक महंत अब इस झटके से उबर चुके हैं और उन्होंने पार्टी नेतृत्व पर हमला तेज कर दिया है ।,झटके,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1102,1,फूकन भी पार्टी में अपनी उपेक्षा से आहत हैं ।,उपेक्षा,obl,nmod,से,से,R4,,ambiguous,no_decision,Karaṇa|Apādāna,,no,yes,no,no
dev-s1122,1,ये आदिवासी अबुझमादिया समुदाय से संबंधित हैं ।,समुदाय,obl,nmod,से,से,R4,,ambiguous,no_decision,Karaṇa|Apādāna,,no,yes,no,no
dev-s1125,1,ये आदिवासी महाराष्ट्र से सटे छत्तीसगढ़ के जंगलों में रहते हैं ।,महाराष्ट्र,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1132,1,इन डेढ़ सालों में सरकार महज 17 पदों पर नियुक्ति कर पाई जिसके चलते मंत्रालय की योजनाएं धरातल पर तो दूर कागजों में भी ठीक से नहीं बन पा रही हैं ।,धरातल,nmod,obl,पर,पर,,R3,no_decision,confirmed,,Adhikaraṇa,no,yes,no,no
dev-s1133,1,सरकार के रवैये से नाराज संसद की स्थाई समिति ने खाली पदों को न भरने पर मंत्रालय को फटकार लगाई है ।,मंत्रालय,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,Kartā,Karma|Sampradāna,no,yes,no,no
dev-s1148,1,अखबार के मुताबिक जम्मू - कश्मीर में 60 हजार सैनिक तैनात हैं और इनमें से ज्यादातर की तैनाती कश्मीर घाटी में की गई है ।,इनमें,nmod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1151,1,तब जम्मू डिवीजन और अनंतनाग से तकरीबन 6 हजार जवानों को वापस बुला लिया गया था ।,जवानों,nsubj:pass,obj,को,को,,R5,no_decision,ambiguous,,Karma|Sampradāna,no,yes,no,no
dev-s1159,1,शिकायत के बाद कल शाम से बेउर जेल में एक कार्यकारी मजिस्ट्रेट को भीड़ से निपटने के लिए तैनात कर दिया गया है ।,भीड़,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1161,1,गौरतलब है कि जेल प्रशासन ने जब इस बाहुबली नेता को उनसे मिलने आए लोगों से भेंट नहीं करने दी तो शनिवार को उन्होंने जेलकर्मियों को परिणाम भुगतने की धमकी दी ।,लोगों,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,Karaṇa|Apādāna,Karma,no,yes,no,no
dev-s1162,1,उन्होंने कथित तौर पर जेलर भोला सिंह को जान से मार डालने की धमकी दी ।,जान,compound,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1165,1,बेउर जेल के जेलर भोला सिंह और कुछ अन्य कर्मचारियों ने कारागार विभाग को कल दिए गए एक लिखित आवेदन में बताया है कि माकपा विधायक अजित सरकार की हत्या के मामले में जेल में बंद पप्पू यादव ने मुलाकातियों से मिलने से मना करने पर उन्हें जान से मारने की धमकी दी ।,जान,compound,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1166,1,उन्होंने परिस्थिति से निपटने के लिए मजिस्ट्रेट की निगरानी में अतिरिक्त पुलिस बल तैनात करने की भी माँग की है ।,परिस्थिति,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1170,1,बताया जाता है कि इसके पूर्व मधेपुरा से राजद के सांसद पप्पू यादव की उनसे मिलने बड़ी संख्या में आने वाले अनाधिकृत मुलाकातियों को रोकने के मामले में जेल महानिरीक्षक से भी नोक - झोंक हो चुकी है ।,मधेपुरा,nmod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1170,1,बताया जाता है कि इसके पूर्व मधेपुरा से राजद के सांसद पप्पू यादव की उनसे मिलने बड़ी संख्या में आने वाले अनाधिकृत मुलाकातियों को रोकने के मामले में जेल महानिरीक्षक से भी नोक - झोंक हो चुकी है ।,महानिरीक्षक,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
