sent_id,sentence_text,token_form,deprel,case_marker,rule_id,decision_type,confidence,karaka_candidates,reason
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,यह,det,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,एशिया,nmod,की,,no_decision,none,,No v1 rule applies for deprel='nmod' with case_marker='की'.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,की,case,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,सबसे,advmod,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,बड़ी,amod,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,मस्जिदों,nmod,में,,no_decision,none,,No v1 rule applies for deprel='nmod' with case_marker='में'.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,में,case,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,से,case,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,एक,root,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,है,cop,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,।,punct,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,इसे,obj,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,नवाब,compound,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,शाहजेहन,nsubj,ने,R1,confirmed,high,Kartā,nsubj with ने postposition — strong agent/subject evidence for Kartā.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,ने,case,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,बनवाया,root,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,था,aux,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s2,इसे नवाब शाहजेहन ने बनवाया था ।,।,punct,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
train-s3,इसका प्रवेश द्वार दो मंजिला है ।,इसका,nmod,,,no_decision,none,,No case marker provided; v1 rules require postposition evidence.
