sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s1093,रेडियो रिपोर्ट में वाइस एडमिरल दया संदागिरी के हवाले से कहा गया है कि सुनामी से मची तबाही में प्रभाकरन और अम्मान या तो मारे गए या वे लापता हैं ।,तबाही,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1267,सूत्रों का कहना है कि सरकार के पास इस वक्त कुछ और रक्षा सौदे बीच रास्ते में ही लटके पड़े हैं ।,रास्ते,obl,obl,बीच,में,,R2,mapping_hypothesis,confirmed,case marker changed बीच to में
dev-s1350,वामदलों समेत कई पार्टियों के सदस्यों ने कहा कि किसान समुदाय के लिए संस्थागत ऋणों में वृद्धि भारी कर्ज के नीचे दबे किसानों की मदद नहीं करेगी ।,ऋणों,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1351,इस पर वित्त मंत्री ने कहा कि फार्म पैकेज का उद्देश्य अधिक से अधिक संख्या में किसानों को वित्त संस्थानों के तहत लाना है ।,संख्या,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1379,कारगिल के एक धर्मस्थल में धर्मग्रंथ के अपमान को लेकर दो संप्रदायों के बीच झड़पों के बाद लेह और इसके आसपास के इलाकों में कर्फ्यू लगा दिया गया है ।,इलाकों,conj,obl,,में,,R2,no_decision,confirmed,deprel changed conj to obl; case marker changed empty to में
dev-s1468,ये जवान इस क्षेत्र में नक्सली विरोधी अभियान को अंजाम देने वाले दल का हिस्सा थे ।,क्षेत्र,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1555,बीएसएनएल बोर्ड की बैठक में कर्मियों के भत्तों में बढ़ोतरी का निर्णय किया गया ।,भत्तों,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1574,इंफाल में असम राइफल के कर्मी द्वारा मनोरमा देवी की तथाकथित हत्या के विरोध में अनेक महिलाओं द्वारा शुक्रवार को कर्फ्र्यू तोड़ने और जुलूस निकालने की कोशिश के दौरान हिंसा भड़कने से कई लोग घायल हो गए ।,विरोध,case,obl,,में,,R2,no_decision,confirmed,deprel changed case to obl; case marker changed empty to में
dev-s1576,सरकारी सूत्रों ने कहा कि लोग 10 जुलाई को मनोरमा देवी की हत्या के विरोध में कर्फ्र्यू तोड़ कर जुलूस निकालने की कोशिश कर रहे थे ।,विरोध,case,obl,,में,,R2,no_decision,confirmed,deprel changed case to obl; case marker changed empty to में
dev-s1579,पुलिस की इस कार्रवाई में छिंगमारोंग इलाके में दो महिलाएँ और कोंगबा इलाके में चार लोग गंभीर रूप से घायल हुए हैं ।,इलाके,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1590,"12 मई को लिखे अपने इस पत्र में उन्होंने कहा है, एचसीआई के स्वामित्व वाले सेंटॉर होटल पर महानियंत्रक और लेखा परीक्षक की रिपोर्ट ने सार्वजनिक जीवन में शुचिता के मेरे पुराने रुख की पुष्टि की है ।",जीवन,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1591,कैग रिपोर्ट में दो सेंटॉर होटलों की बिक्री में अनियमितता की बात कही गई थी ।,बिक्री,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s1602,"वामदलों के नेताओं के साथ बातचीत के बाद माकपा के महासचिव प्रकाश करात ने कहा था कि बिहार में चुनाव को लेकर वामदलों में मतभेद हैं, लेकिन हमारा मानना है कि धर्मनिरपेक्ष मतों का विभाजन नहीं होना चाहिए ।",बिहार,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s26,मूर्ति भगवान बुद्ध के बोधि प्राप्‍त करने से पूर्व की ध्‍यान मुद्रा में है ।,मुद्रा,root,obl,में,में,,R2,no_decision,confirmed,deprel changed root to obl
dev-s368,गत रात्रि से मनाली की ऊंची चोटियों पर हिमपात व निचले क्षेत्रों में बारिश होने से समूचा क्षेत्र ठंड की चपेट में आ गया है ।,हिमपात,compound,obl,,में,,R2,no_decision,confirmed,deprel changed compound to obl; case marker changed empty to में
dev-s404,आर्थिक सर्वेक्षण में जताई गई आशंकाओं के बीच बृहस्पतिवार को पेश होने वाले केंद्रीय बजट में कुछ साहसी निर्णय लिए जाने की उम्मीद है ।,बजट,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s408,"इस बजट में आयकर छूट सीमा 70,000 - 1,00,000 करने तथा बुनियादी शिक्षा के लिए धन जुटाने के मकसद से प्रत्यक्ष करों पर दो फीसदी उपकर लगाए जाने की आशा है ।",बजट,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s511,कुंबले व हरभजन के साथ इन दोनों तेज गेंदबाजों की टीम में मौजूदगी का मतलब हुआ कि भारत लंबे अरसे बाद किसी टूर्नामेंट में अपने पूरी क्षमता वाले गेंदबाजी आक्रमण के साथ उतरेगा ।,टीम,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s519,मौसम विभाग के मुताबिक यमुनानगर जिले के छछरौली और फरीदाबाद जिले के पलवल में बुधवार को मानसून पूर्व बारिश हुई ।,पलवल,conj,obl,,में,,R2,no_decision,confirmed,deprel changed conj to obl; case marker changed empty to में
dev-s524,खासकर पेट्रोलियम पदार्थो की अंतर्राष्ट्रीय कीमतों में बढ़ोतरी रुझान को देखते हुए महंगाई और ब्याज दरों में तेजी आ सकती है ।,महंगाई,obl,obl,,में,,R2,mapping_hypothesis,confirmed,case marker changed empty to में
dev-s585,पूछ - ताछ में दिल्ली पुलिस को पता लगा कि हवारा और उसका साथी पटियाला की पंजाब यूनीवर्सिटी में कुछ लोगों से मिलने गया है ।,पूछ,compound,obl,,में,,R2,no_decision,confirmed,deprel changed compound to obl; case marker changed empty to में
dev-s60,महापरिनिर्वाण मंदिर से पहले बीच तालाब में बना भगवान बुद्ध का मंदिर और इसके सामने बना विशाल पगोडा पर्यटकों के आकर्षण का केंद्र है ।,तालाब,obl,obl,बीच,में,,R2,mapping_hypothesis,confirmed,case marker changed बीच to में
dev-s607,इस स्थिति में सार्वजनिक उपक्रमों को अपने काम - काज के तरीके में बदलाव लाने की जरूरत है ।,तरीके,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s662,यादव का कहना है कि कृषि में सबसे बड़ी समस्या निवेश ऋण पर लगने वाले ब्याज दर की है ।,कृषि,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
dev-s702,"पूँजी प्रावधान को दोगुना किए जाने से संकेत मिलते हैं कि सरकार का फ्रांसीसी पनडुब्बी 'स्कॉर्पियो', मिग - २१ के स्थान पर १२५ बहुउद्देशीय लड़ाकू विमान और थल सेना की फायरपॉवर में इजाफा करने के लिए चार हजार करोड़ रुपये की योजना पर आगे बढ़ने का विचार है ।",फायरपॉवर,conj,obl,में,में,,R2,no_decision,confirmed,deprel changed conj to obl
dev-s732,सरमा के अनुसार उस युवती के साथ २५ मई को उसके पचास वर्षीय ससुर मोइनुद्दीन ने तब बलात्कार किया जब वह ढिंग पुलिस थानान्तर्गत दक्षिण जेरामाई गाँव के अपने घर में अकेली थी ।,घर,nmod,obl,में,में,,R2,no_decision,confirmed,deprel changed nmod to obl
