pattern_id,sent_id,sentence_text,token_form,gold_karaka,mapper_candidates,deprel,case_marker,final_candidates,verifier_rule_id
adhikarana_nmod_mein,dev-s14,मंदिर के पूर्व हिस्‍से में एक स्‍तूप है ।,हिस्‍से,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s20,वैसे इस पूरे परिसर में अलौकिक शांति का वातावरण है ।,परिसर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s34,अर्द्धगोलाकर इस मंदिर में भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मंदिर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s39,"इसमें बुद्धकालीन वस्‍तुएं, धातुएं, कुशीनगर में खुदाई के दौरान पाई गई मूर्ति, सिक्‍के, बर्तन आदि रखे गए हैं ।",कुशीनगर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s41,मंदिर में थाई शैली की भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मंदिर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s49,इस मंदिर में थाई शैली की भगवान बुद्ध की अष्‍टधातु की मूर्ति है ।,मंदिर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s65,दक्षिण भारतीय शैली में बने इस मंदिर में शिव की ध्‍यान मुद्रा में सफेद संगमरमर की मूर्ति है ।,मंदिर,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s65,दक्षिण भारतीय शैली में बने इस मंदिर में शिव की ध्‍यान मुद्रा में सफेद संगमरमर की मूर्ति है ।,मुद्रा,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s81,बौद्ध भिक्षुओं के लिए कुछ मंदिरों में विहार की व्‍यवस्‍था है ।,मंदिरों,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s95,"मंदिर के गर्भगृह में अर्धा के पास चारों कोनों पर चार सुदृढ़ पाषाण स्तंभ हैं, जहाँ से होकर प्रदक्षिणा होती है ।",गर्भगृह,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s99,"गवाक्षों में आठ पुरुष प्रमाण मूर्तियाँ हैं, जो अत्यंत कलात्मक हैं ।",गवाक्षों,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s112,पाकिस्तान की नीति में अस्थिरता है ।,नीति,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s130,शंकररमन हत्याकांड के सिलसिले में ११ नवंबर को गिरफ्तार होने के बाद से शंकराचार्य न्यायिक हिरासत में हैं और वेल्लूर जेल में बंद हैं ।,जेल,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s146,"अपने तर्क के समर्थन में उन्होंने योजना आयोग के नजरिए का उल्लेख करते हुए कहा कि ट्रैकों की लंबाई, वृहद क्षेत्रफल और भारी आबादी को देखते हुए चीन और भारत की रेल प्रणाली में खासी समानताएं हैं ।",प्रणाली,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s151,हालांकि भारत के मामले में यह क्रमशः २४ और २२ प्रतिशत ही है ।,मामले,Adhikarana,,nmod,में,,
adhikarana_nmod_mein,dev-s152,इसलिए भारत में रेलवे के सभी कार्यक्रम और योजनाएं तकरीबन पूरी तरह से सरकार से मिलने वाले बजट पर ही निर्भर हैं ।,भारत,Adhikarana,,nmod,में,,
