sent_id,occurrence_index,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,gold_final_candidates,stanza_final_candidates,deprel_agree,case_marker_agree,rule_id_agree,final_decision_agree
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,483,compound,nummod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,ईसा,compound,obl,,पूर्व,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,no,yes,no
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,पूर्व,obl,case,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1,1,रामायण काल में भगवान राम के पुत्र कुश की राजधानी कुशावती को 483 ईसा पूर्व बुद्ध ने अपने अंतिम विश्राम के लिए चुना ।,रामायण,compound,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1000,1,"लेकिन व्यापारियों का आंदोलन तब तक जारी रहेगा, जब तक दिल्ली के पाँच लाख व्यापारियों और उनसे जुड़े सौ लाख से अधिक लोगों से भय का वातावरण समाप्त नहीं हो जाता ।",अधिक,det,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1000,1,"लेकिन व्यापारियों का आंदोलन तब तक जारी रहेगा, जब तक दिल्ली के पाँच लाख व्यापारियों और उनसे जुड़े सौ लाख से अधिक लोगों से भय का वातावरण समाप्त नहीं हो जाता ।",उनसे,obj,obl,,,,,mapping_hypothesis,mapping_hypothesis,Karma,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,yes
dev-s1000,2,"लेकिन व्यापारियों का आंदोलन तब तक जारी रहेगा, जब तक दिल्ली के पाँच लाख व्यापारियों और उनसे जुड़े सौ लाख से अधिक लोगों से भय का वातावरण समाप्त नहीं हो जाता ।",लाख,nummod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1001,1,"सरकार ने वर्तमान वित्तीय वर्ष में लाभदायी सार्वजनिक क्षेत्र के उपक्रमों (पीएसयू) की ४,००० करोड़ रुपये तक के सीमित विनिवेश की घोषणा की है ।",सार्वजनिक,compound,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1001,1,"सरकार ने वर्तमान वित्तीय वर्ष में लाभदायी सार्वजनिक क्षेत्र के उपक्रमों (पीएसयू) की ४,००० करोड़ रुपये तक के सीमित विनिवेश की घोषणा की है ।","४,०००",dislocated,compound,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1002,1,"यूपीए सरकार ने पिछली राजग सरकार २००३ - ०४ के १४,५०० करोड़ के विनिवेश लक्ष्य में साढ़े दस हजार करोड़ की कटौती की है ।",राजग,compound,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1002,2,"यूपीए सरकार ने पिछली राजग सरकार २००३ - ०४ के १४,५०० करोड़ के विनिवेश लक्ष्य में साढ़े दस हजार करोड़ की कटौती की है ।",सरकार,compound,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1005,1,चिदंबरम ने सार्वजनिक क्षेत्र के उपक्रमों के पुनर्गठन के लिए एक बोर्ड (बीआरपीएसई) के गठन का ऐलान किया ।,एक,nummod,compound,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1005,1,चिदंबरम ने सार्वजनिक क्षेत्र के उपक्रमों के पुनर्गठन के लिए एक बोर्ड (बीआरपीएसई) के गठन का ऐलान किया ।,सार्वजनिक,compound,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1006,1,"इन सलाहों में हालात के आधार पर विनिवेश, बंदी या फिर बिक्री के विकल्प खुले होंगे ।",बिक्री,nmod,conj,के,के,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1006,1,"इन सलाहों में हालात के आधार पर विनिवेश, बंदी या फिर बिक्री के विकल्प खुले होंगे ।",विकल्प,conj,nsubj,,,,,no_decision,mapping_hypothesis,,Kartā,no,yes,yes,no
dev-s1006,1,"इन सलाहों में हालात के आधार पर विनिवेश, बंदी या फिर बिक्री के विकल्प खुले होंगे ।",विनिवेश,obj,nmod,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1007,1,सरकार के हिस्से के शेयरों की कीमत वसूलने और मंदी के असर को कम करने के लिए सरकार एनटीपीसी के पब्लिक इश्यू पर अपनी पकड़ बनाए रखते हुए अपने शेयरों का पाँच फीसदी ही विनिवेश कर सकती है ।,रखते,compound,advcl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1007,1,सरकार के हिस्से के शेयरों की कीमत वसूलने और मंदी के असर को कम करने के लिए सरकार एनटीपीसी के पब्लिक इश्यू पर अपनी पकड़ बनाए रखते हुए अपने शेयरों का पाँच फीसदी ही विनिवेश कर सकती है ।,हुए,aux:pass,aux,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1008,1,"चिदंबरम ने कहा कि मौजूदा वित्तीय वर्ष में ये और जो अन्य मामले विचाराधीन हैं, उनसे ४,००० करोड़ रुपये की उगाही की उम्मीद है ।",और,cc,det,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1008,1,"चिदंबरम ने कहा कि मौजूदा वित्तीय वर्ष में ये और जो अन्य मामले विचाराधीन हैं, उनसे ४,००० करोड़ रुपये की उगाही की उम्मीद है ।",मामले,conj,nsubj,,,,,no_decision,mapping_hypothesis,,Kartā,no,yes,yes,no
dev-s1009,1,वित्त मंत्री ने कहा कि सीमित निजीकरण के बावजूद सरकार सार्वजनिक क्षेत्र के उपक्रमों पर अपना नियंत्रण रखने के प्रति दृढ़ है ।,रखने,obl,advcl,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1009,1,वित्त मंत्री ने कहा कि सीमित निजीकरण के बावजूद सरकार सार्वजनिक क्षेत्र के उपक्रमों पर अपना नियंत्रण रखने के प्रति दृढ़ है ।,सार्वजनिक,compound,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1010,1,उन्होंने कहा कि जहाँ तक पीएसयू पर सरकारी नियंत्रण क़ायम है और सार्वजनिक क्षेत्र की विशेषताओं पर कोई असर नहीं पड़ता ।,सार्वजनिक,compound,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1012,1,उन्होंने सार्वजनिक क्षेत्र के उपक्रमों के पुनर्गठन बोर्ड (बीआरपीएसई) से कहा है कि हर मामले की उपयोगिता को परखा जाए और तभी न्यूनतम साझा कार्यक्रम (सीएमपी) के तहत विनिवेश की सिफारिश की जाए ।,सार्वजनिक,compound,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1018,1,उन्होंने कहा है कि कृषि और औद्योगिक क्षेत्र को बढ़ावा देकर विकास की गति बढ़ाने पर जोर दिया गया है ।,जोर,obl,compound,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1019,1,"बृहस्पतिवार को संवाददाताओं से बात - चीत में प्रधानमंत्री ने कहा है कि तेजी से फैल रहे आर्थिक ढाँचे में गरीबी, अशिक्षा और बीमारी जैसी समस्याओं का समाधान पाया जा सकता है ।",समाधान,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1021,1,उन्होंने कहा कि देश के १५० सर्वाधिक पिछड़े जिलों में 'काम के बदले अनाज' कार्यक्रम लागू किया जाएगा ।,अनाज,compound,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1024,1,उन्होंने कहा 'मेरा हमेशा से मानना है कि व्यवस्थित अर्थ - व्यवस्था और सामाजिक दायित्वों की पूर्ति के लिए राजस्व सुधार बहुत जरूरी है,से,case,dep,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1035,1,हरित क्रांति के जनक नोबल पुरस्कार विजेता डॉ. नार्मन बोर्लेग ने दो टूक कहा है कि सिर्फ जैविक खेती से दुनिया की भूख को नहीं मिटाया जा सकता ।,टूक,advmod,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1035,1,हरित क्रांति के जनक नोबल पुरस्कार विजेता डॉ. नार्मन बोर्लेग ने दो टूक कहा है कि सिर्फ जैविक खेती से दुनिया की भूख को नहीं मिटाया जा सकता ।,दो,compound,nummod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1036,1,धरती की ६.३ अरब आबादी को अन्न मुहैया कराने के लिए फिलहाल रासायनिक खादों की जरूरत बनी रहेगी ।,आबादी,obj,iobj,को,को,R5,R5,ambiguous,ambiguous,Karma|Sampradāna,Karma|Sampradāna,no,yes,yes,yes
dev-s1037,1,रासायनिक खादों के बिना खेती के अस्तित्व की बात करने वाले सिर्फ कल्पनाओं में ही जी रहे हैं ।,करने,nsubj,amod,,,,,mapping_hypothesis,no_decision,Kartā,,no,yes,yes,no
dev-s1037,1,रासायनिक खादों के बिना खेती के अस्तित्व की बात करने वाले सिर्फ कल्पनाओं में ही जी रहे हैं ।,खादों,obl,nmod,के,के,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,खादों,obl,nmod,से,से,R4,,ambiguous,no_decision,Karaṇa|Apādāna,,no,yes,no,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,फर्टीलाईज़र,obl,nsubj,,,,,mapping_hypothesis,mapping_hypothesis,Adhikaraṇa|Apādāna|Karaṇa,Kartā,no,yes,yes,yes
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,भूमि,nsubj,obj,को,,,,mapping_hypothesis,mapping_hypothesis,Kartā,Karma,no,no,yes,yes
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,मनुष्य,conj,iobj,,को,,R5,no_decision,ambiguous,,Karma|Sampradāna,no,no,no,no
dev-s1038,1,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,हों,cop,advcl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1039,1,अमादलपुर के प्रगतिशील किसान सुरेंद्र सिंह के हारा फार्म को देखने पहुंचे बोर्लेग ने शुक्रवार को 'अमर उजाला' से बात - चीत में कहा कि साठ - सत्तर के दशक में जब बाकी दुनिया हरित क्रांति से रूबरू हो रही थी तब भारत अन्न के लिए दूसरे देशों का मुँह ताकता था ।,बाकी,det,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1039,1,अमादलपुर के प्रगतिशील किसान सुरेंद्र सिंह के हारा फार्म को देखने पहुंचे बोर्लेग ने शुक्रवार को 'अमर उजाला' से बात - चीत में कहा कि साठ - सत्तर के दशक में जब बाकी दुनिया हरित क्रांति से रूबरू हो रही थी तब भारत अन्न के लिए दूसरे देशों का मुँह ताकता था ।,मुँह,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1039,1,अमादलपुर के प्रगतिशील किसान सुरेंद्र सिंह के हारा फार्म को देखने पहुंचे बोर्लेग ने शुक्रवार को 'अमर उजाला' से बात - चीत में कहा कि साठ - सत्तर के दशक में जब बाकी दुनिया हरित क्रांति से रूबरू हो रही थी तब भारत अन्न के लिए दूसरे देशों का मुँह ताकता था ।,साठ,compound,nummod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1039,1,अमादलपुर के प्रगतिशील किसान सुरेंद्र सिंह के हारा फार्म को देखने पहुंचे बोर्लेग ने शुक्रवार को 'अमर उजाला' से बात - चीत में कहा कि साठ - सत्तर के दशक में जब बाकी दुनिया हरित क्रांति से रूबरू हो रही थी तब भारत अन्न के लिए दूसरे देशों का मुँह ताकता था ।,हारा,compound,acl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s104,1,निःसंदेह वे पहले नौ रही होंगी ।,निःसंदेह,advmod,mark,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1041,1,भारतीय किसानों ने उर्वरकों और समय का सही इस्तेमाल कर यह कमाल दिखाया ।,कमाल,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1046,1,"हालांकि उन्होंने माना कि जैविक खाद बढ़िया है, लेकिन रासायनिक खादों की जगह नहीं ले सकती ।",जगह,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1049,1,हारा फार्म में पापुलर और गेहूं को एक ही खेत में देखकर वे काफी हैरान हुए ।,हारा,compound,acl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1050,1,"उन्होंने कहा कि भारत में अन्न तो काफी पैदा हो रहा है, लेकिन बहुत से लोगों के पास उसे खरीदने के लिए पैसे नहीं हैं ।",बहुत,advmod,det,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1050,1,"उन्होंने कहा कि भारत में अन्न तो काफी पैदा हो रहा है, लेकिन बहुत से लोगों के पास उसे खरीदने के लिए पैसे नहीं हैं ।",से,det,dep,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1053,2,"सुरेंद्र हारा ने बताया कि वे डॉ. बोर्लेग ही थे, जिन्होंने ७० के दशक में भारत सरकार को किसानों के लिए ज्यादा से ज्यादा बैंक ऋण देने का प्रावधान रखने का सुझाव दिया था ।",ज्यादा,amod,det,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1054,1,"हारा ने बताया कि वे अपने खेतों से १० साल के चक्र में औसतन २० क्विंटल प्रति एकड़ लकड़ी की पैदावार कर रहे हैं, जो कि पश्चिमी देशों से भी ज्यादा है ।",देशों,nmod,obl,से,से,,R4,no_decision,ambiguous,,Karaṇa|Apādāna,no,yes,no,no
dev-s1055,1,"उन्होंने कहा कि कृषि वानिकी में अपार संभावनाएं हैं, चूँकि भारत में हर साल ८ - ९ हजार करोड़ रुपये की लकड़ी आयात होती है ।",अपार,amod,det,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1057,1,रासायनिक उर्वरकों के अंधाधुंध इस्तेमाल पर उन्होंने कहा कि जैविक खाद भी इस्तेमाल की जानी चाहिए ।,खाद,nsubj:pass,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1058,1,आयकर भवन में शुक्रवार की शाम को दो आतंकियों के दाखिल होने के बाद शुरू हुई मुठभेड़ २५ घंटे तक चलने के बाद शनिवार की शाम दूसरे आतंकी की मौत के साथ समाप्त हो गई ।,आतंकियों,nsubj,nmod,के,के,,,mapping_hypothesis,no_decision,Kartā,,no,yes,yes,no
dev-s1059,1,"हालांकि पहले माना जा रहा था कि दूसरा आतंकी भी मारा गया है, लेकिन शनिवार सुबह जब जवान इमारत में दाखिल हुए तो उन पर फायरिंग शुरू हो गई ।",हुए,nmod,acl:relcl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1065,1,शुक्रवार की रात को जब एक आतंकी के मारे जाने के बाद दूसरा आतंकी भी कुछ देर फायरिंग करने के बाद इमारत के एक कमरे में छिपकर बैठ गया तो सुरक्षा - बलों व अन्य सभी एजेंसियों ने मान लिया कि वह भी मारा गया है ।,वह,obj,nsubj:pass,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1066,1,शनिवार की सुबह ९.०० बजे सुरक्षा - बलों ने इमारत में तलाशी शुरू की ।,सुबह,nmod,obl,,,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,no
dev-s1067,1,"जम्मू - कश्मीर पुलिस के एसओजी दस्ते के जवान जैसे ही इमारत में दाखिल हुए, दूसरे आतंकी ने फायरिंग शुरू कर दी ।",एसओजी,nmod,compound,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1067,1,"जम्मू - कश्मीर पुलिस के एसओजी दस्ते के जवान जैसे ही इमारत में दाखिल हुए, दूसरे आतंकी ने फायरिंग शुरू कर दी ।",हुए,advcl,acl:relcl,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1070,1,"इसके बाद आतंकी तभी फायर करता था, जब सुरक्षाकर्मी इमारत के उस हिस्से में दाखिल होने का प्रयास करते, जहाँ वह पोजीशन लिए हुए था ।",पोजीशन,compound,obj,,,,,no_decision,mapping_hypothesis,,Karma,no,yes,yes,no
dev-s1071,1,"शाम ४.३० बजे के करीब एसओजी के सुरक्षा - बलों ने आतंकी जिस कमरे में छिपा था, उसमें पहले हथगोले फेंके और बाद में फायरिंग की ।",शाम,obl,nmod,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,तैयार,xcomp,advmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,थे,aux,cop,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,पोजीशन,compound,nmod,,लिए,,,no_decision,no_decision,,,no,no,yes,yes
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,बाहर,obl,nmod,,,,,mapping_hypothesis,no_decision,Adhikaraṇa|Apādāna|Karaṇa,,no,yes,yes,no
dev-s1073,1,बाहर जवान पोजीशन लिए तैयार खड़े थे ।,लिए,advcl,case,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1076,1,श्रीलंका के सरकारी रेडियो ने शनिवार को दावा किया कि २६ दिसंबर को आई सुनामी लहरें लिबरेशन टाइगर्स ऑफ तमिल ईल्म (लिट्टे) प्रमुख वी प्रभाकरन को भी अपने साथ बहा ले गई ।,सुनामी,nmod,compound,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1082,1,शनिवार को श्रीलंका के सरकारी रेडियो ने खबर दी कि पिछले हफ्ते सुनामी लहरों के तांडव में तमिल टाइगर प्रमुख वेलुपिल्लई प्रभाकरन और उसके खुफिया प्रमुख पोट्टू अम्मान मारे गए या लापता हैं ।,खबर,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1084,1,अखबार की रिपोर्ट के बाद विद्रोहियों की ओर से प्रभाकरन के नाम से श्रीलंका के सुनामी प्रभावित इलाकों में अंतर्राष्ट्रीय मदद की अपील की गई थी ।,नाम,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1084,1,अखबार की रिपोर्ट के बाद विद्रोहियों की ओर से प्रभाकरन के नाम से श्रीलंका के सुनामी प्रभावित इलाकों में अंतर्राष्ट्रीय मदद की अपील की गई थी ।,सुनामी,compound,obl,,,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,no
dev-s1085,1,"लेकिन, आमतौर पर विद्रोहियों के रेडियो से अपने संदेश जारी करने वाले प्रभाकरन की आवाज तमिल विद्रोहियों के इलाकों में अब तक सुनाई नहीं दी ।",करने,nmod,amod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1085,1,"लेकिन, आमतौर पर विद्रोहियों के रेडियो से अपने संदेश जारी करने वाले प्रभाकरन की आवाज तमिल विद्रोहियों के इलाकों में अब तक सुनाई नहीं दी ।",तमिल,amod,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s109,1,उन्होंने कहा है कि पाक सरकार की लचर कश्मीर नीति के कारण यह मुद्दा पाकिस्तान के हाथ से लगभग निकल चुका है ।,पाक,compound,nmod,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s109,1,उन्होंने कहा है कि पाक सरकार की लचर कश्मीर नीति के कारण यह मुद्दा पाकिस्तान के हाथ से लगभग निकल चुका है ।,लगभग,advmod,dep,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1090,1,बयान में कहा गया है कि 'यह समय अफवाहें फैलाने या गलत मंशा से प्रचार करने का नहीं है,फैलाने,nmod,obl,,,,,no_decision,mapping_hypothesis,,Adhikaraṇa|Apādāna|Karaṇa,no,yes,yes,no
dev-s1090,1,बयान में कहा गया है कि 'यह समय अफवाहें फैलाने या गलत मंशा से प्रचार करने का नहीं है,समय,obj,nsubj,,,,,mapping_hypothesis,mapping_hypothesis,Karma,Kartā,no,yes,yes,yes
dev-s1090,2,बयान में कहा गया है कि 'यह समय अफवाहें फैलाने या गलत मंशा से प्रचार करने का नहीं है,है,cop,ccomp,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1091,1,बयान में कहा गया है कि लिट्टे और तमिल जनता श्रीलंका ब्रॉडकास्टिंग कॉरपोरेशन की इस शरारत भरी रिपोर्ट का विरोध करेंगे ।,इस,dislocated,det,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1091,1,बयान में कहा गया है कि लिट्टे और तमिल जनता श्रीलंका ब्रॉडकास्टिंग कॉरपोरेशन की इस शरारत भरी रिपोर्ट का विरोध करेंगे ।,तमिल,amod,compound,,,,,no_decision,no_decision,,,no,yes,yes,yes
dev-s1092,1,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,अफवाह,obj,compound,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
dev-s1092,1,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,आपदा,obj,obl,से,से,,R4,mapping_hypothesis,ambiguous,Karma,Karaṇa|Apādāna,no,yes,no,no
dev-s1092,1,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,देश,iobj,nsubj,,,,,mapping_hypothesis,mapping_hypothesis,Sampradāna,Kartā,no,yes,yes,yes
dev-s1092,1,पूरा देश इस समय दैवी आपदा से जूझ रहा है और दुख की बात है कि सरकार का जिम्मेदार मीडिया ही अफवाह फैलाकर लोगों को गुमराह करने में लगा है ।,लोगों,iobj,obj,को,को,R5,R5,ambiguous,ambiguous,Karma|Sampradāna,Karma|Sampradāna,no,yes,yes,yes
dev-s1093,1,रेडियो रिपोर्ट में वाइस एडमिरल दया संदागिरी के हवाले से कहा गया है कि सुनामी से मची तबाही में प्रभाकरन और अम्मान या तो मारे गए या वे लापता हैं ।,तबाही,nmod,obl,में,में,,R2,no_decision,confirmed,,Adhikaraṇa,no,yes,no,no
dev-s1093,1,रेडियो रिपोर्ट में वाइस एडमिरल दया संदागिरी के हवाले से कहा गया है कि सुनामी से मची तबाही में प्रभाकरन और अम्मान या तो मारे गए या वे लापता हैं ।,प्रभाकरन,obj,nsubj:pass,,,,,mapping_hypothesis,no_decision,Karma,,no,yes,yes,no
