ud_split,ud_sent_id,ud_text,hdtb_split,hdtb_file,hdtb_sentence_index,hdtb_text,similarity_score
train,train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,Training,1070425029_2.dat,1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,0.9663
train,train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,Training,1070622046_1.dat,8,यह दुनिया के सबसे रंगीन शहरों में शुमार है ।,0.6292
train,train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,Training,fullnews_id_2481939_date_28_5_2004.dat,12,यह सभी मामले टैक्स दायरे में आ सकते हैं ।,0.4884
train,train-s7,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।,Training,1070425029_2.dat,7,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।,0.9887
train,train-s7,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।,Training,fullnews_id_2568926_date_4_7_2004.dat,22,दारुल उलूम वक्फ के फतवा विभाग के नायब प्रभारी मुफ्ती एहसान कासमी का कहना है कि मीडिया के फायदों को नजर अंदाज नहीं किया जा सकता है ।,0.3788
train,train-s7,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।,Training,fullnews_id_2486919-a_date_29_5_2004.dat,11,अपने पूर्व बॉस से मुलाकात को लेकर उत्साहित वर्मा ने कहा कि यह कलाम की महानता है कि उन्होंने मुलाकात के लिए समय निकाला .,0.3651
train,train-s15,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।,Training,1070425029_2.dat,15,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।,0.9643
train,train-s15,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।,Training,1070425029_3.dat,8,यह मूल रूप से विज्ञान संग्रहालय है जो श्यामला हिल्स की खूबसूरती के बीच स्थित है ।,0.5904
train,train-s15,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।,Training,1071003006_2.dat,16,माना जाता है कि प्राचीन काल में यह खगोल शास्त्र अध्ययन का सबसे बड़ा केंद्र था ।,0.4024
train,train-s17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,Training,1070425029_2.dat,17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,0.9771
train,train-s17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,Training,fullnews_id_2496853_date_3_6_2004.dat,23,सेना के तीनों अंगों के जवान युद्ध स्तर पर राहत अभियान में जुटे हुए हैं ।,0.4638
train,train-s17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,Training,fullnews_id_2575936_date_6_7_2004.dat,3,इन मजदूरों की पहचान राजीव कुमार और गोपाल सिंह के रूप में हुई है ।,0.4427
train,train-s24,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,Training,1070425029_3.dat,3,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,0.9804
train,train-s24,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,Training,1070425029_2.dat,14,यह सोमवार के अलावा पूरे सप्ताह दोपहर 2 बजे से रात 8 बजे तक खुला रहता है ।,0.7333
train,train-s24,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,Training,1070425029_3.dat,7,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,0.6579
train,train-s25,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,Training,1070425029_3.dat,4,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,0.9412
train,train-s25,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,Training,fullnews_id_2516257_date_10_6_2004.dat,2,पिछले एक सप्ताह में उनकी यह दूसरी विदेश यात्रा है ।,0.4466
train,train-s25,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,Training,fullnews_id_2559031_date_29_6_2004.dat,9,करीब चार साल पहले यह व्यवस्था समाप्त कर दी गई ।,0.4242
train,train-s28,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,Training,1070425029_3.dat,7,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,0.9801
train,train-s28,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,Training,1070425029_3.dat,10,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,0.7391
train,train-s28,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,Training,1070425029_3.dat,3,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,0.6842
