sent_id,sentence_text,token_form,gold_karaka,corrected_candidates,deprel,case_marker
dev-s5,कुशीनगर का सबसे ज्‍यादा महत्‍व बौद्ध तीर्थ के रूप में है ।,तीर्थ,Adhikarana,,root,के
dev-s13,"यह मंदिर उसी स्‍थान पर बनाया गया है, जहाँ से यह मूर्ति निकाली गई थी ।",जहाँ,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s18,इस मंदिर के आसपास कई विहार (जहाँ बौद्ध भिक्षु रहा करते थे) और चैत्‍य (जहाँ भिक्षु पूजा करते थे या ध्‍यान लगाते थे) भग्‍नावशेष और खंडहर मौजूद हैं जो अशोककालीन बताए जाते हैं ।,मंदिर,Adhikarana,,nmod,के
dev-s21,महापरिनिर्वाण मंदिर से कुछ दूर आगे माथा कुँवर का मंदिर है ।,आगे,Adhikarana,,nmod,
dev-s27,यहाँ बुद्ध चिरनिद्रा में हैं -,यहाँ,Adhikarana,,nmod,
dev-s27,यहाँ बुद्ध चिरनिद्रा में हैं -,चिरनिद्रा,Adhikarana,,root,में
dev-s29,इन सभी स्‍थानों पर इन भस्‍मों और अस्‍थियों के ऊपर स्‍तूप बनाए गए ।,और,Adhikarana,,cc,
dev-s38,जापानी मंदिर के ठीक सामने संग्रहालय है ।,मंदिर,Adhikarana,,nmod,के
dev-s59,मंदिर के बाहर सुंदर फव्वारा है ।,मंदिर,Adhikarana,,nmod,के
dev-s64,जलमंदिर के सामने भगवान शिव को समर्पित बिरला मंदिर मौजूद है ।,जलमंदिर,Adhikarana,,nmod,के
dev-s66,इसके बगल में ही बिरला धर्मशाला है ।,बगल,Adhikarana,,case,
dev-s76,"यहाँ लोटस, निक्‍को होटल, होटल रेसीडेंसी और पथिक निवास में ठहरने के लिए बेहतर होगा कि पहले से बुकिंग करवा ली जाए ।",और,Adhikarana,,cc,
dev-s79,इसमें बिरला धर्मशाला और बुद्ध धर्मशाला प्रमुख हैं ।,इसमें,Adhikarana,,nmod,
dev-s85,यहाँ केदारनाथ तीर्थ उत्तराखंड का महत्वपूर्ण स्थल है ।,यहाँ,Adhikarana,,nmod,
dev-s86,यहाँ जाते समय पैरों के नीचे यत्र - तत्र हिम राशि खिसकती दिखाई पड़ती है ।,तत्र,Adhikarana,,compound,
dev-s95,"मंदिर के गर्भगृह में अर्धा के पास चारों कोनों पर चार सुदृढ़ पाषाण स्तंभ हैं, जहाँ से होकर प्रदक्षिणा होती है ।",अर्धा,Adhikarana,,nmod,के
dev-s95,"मंदिर के गर्भगृह में अर्धा के पास चारों कोनों पर चार सुदृढ़ पाषाण स्तंभ हैं, जहाँ से होकर प्रदक्षिणा होती है ।",जहाँ,Adhikarana,Karaṇa|Apādāna,obl,से
dev-s100,मंदिर के पीछे पत्थरों के ढेर के पास भगवान ईशान का मंदिर है ।,मंदिर,Adhikarana,,nmod,के
