ud_split,ud_sent_id,ud_text,normalized_text
train,train-s1,यह एशिया की सबसे बड़ी मस्जिदों में से एक है ।,यह एशिया की सबसे बड़ी मस्जिदों में से एक है।
train,train-s7,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था ।,शौकत महल के सामने बड़ी झील के किनारे स्थित वास्तुकला का यह खूबसूरत नमूना कुदसिया बेगम के काल का है जिन्हें गोहर बेगम भी कहा जाता था।
train,train-s15,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है ।,यह एक अनूठा संग्रहालय है जो 200 एकड़ में श्यामला हिल्स पर बड़ी झील के सामने फैला है।
train,train-s17,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है ।,और इस तरह से यह वस्तुओं और परंपराओं से जीवंत रूप से जुड़ा हुआ है।
train,train-s24,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है ।,यह संग्रहालय भी सोमवार को छोड़कर पूरे सप्ताह 9 बजे से 5 बजे तक खुला रहता है।
train,train-s25,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है ।,बड़ी झील से लगी पहाड़ी पर यह सफारी उद्यान स्थित है।
train,train-s28,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है ।,यह मंगलवार को छोड़कर हर दिन सुबह 7 से 11 और 3 से 5 बजे शाम तक खुला रहता है।
train,train-s31,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है ।,यह सोमवार को छोड़कर हर दिन सुबह 10.30 से 6.30 तक खुला रहता है।
train,train-s34,"यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं ।","यहाँ आप चाँदी के आभूषण, बीडवर्क, कढ़ाई का काम और सीक्वन का काम खूबसूरत अंदाज में देख और खरीद सकते हैं।"
train,train-s35,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है ।,बड़ी झील छोटी झील से एक ओवरब्रिज से अलग होती है।
train,train-s36,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है ।,म.प्र. पर्यटन बोट क्लब बड़ी झील में नौकायन भी करवाता है।
train,train-s41,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं ।,मुंबई से इटारसी और झाँसी के रास्ते दिल्ली जाने वाली मुख्य गाड़ियाँ भोपाल होकर जाती हैं।
