split,ud_sent_id,hdtb_file,hdtb_sentence_index,token_id,token,head,paninian_label,gold_karaka
train,train-s1,1070425029_2.dat,1,6,मस्जिदों,10,k7,Adhikarana
train,train-s1,1070425029_2.dat,1,9,एक,10,k1,Karta
train,train-s2,1070425029_2.dat,2,1,इसे,5,k2,Karma
train,train-s2,1070425029_2.dat,2,3,शाहजेहन,5,k1,Karta
train,train-s3,1070425029_2.dat,3,3,द्वार,6,k1,Karta
train,train-s4,1070425029_2.dat,4,1,जिसमें,4,k7,Adhikarana
train,train-s4,1070425029_2.dat,4,3,मेहराबें,4,k1,Karta
train,train-s4,1070425029_2.dat,4,8,हॉल,16,k7p,Adhikarana
train,train-s4,1070425029_2.dat,4,15,द्वार,16,k1,Karta
train,train-s5,1070425029_2.dat,5,2,इमारत,5,k1,Karta
train,train-s6,1070425029_2.dat,6,1,यहाँ,2,k7p,Adhikarana
train,train-s6,1070425029_2.dat,6,7,इज्तिमा,14,k1,Karta
train,train-s6,1070425029_2.dat,6,11,लोगों,14,k2,Karma
train,train-s7,1070425029_2.dat,7,2,महल,20,k7p,Adhikarana
train,train-s7,1070425029_2.dat,7,14,नमूना,20,k1,Karta
train,train-s7,1070425029_2.dat,7,21,जिन्हें,25,k2,Karma
train,train-s8,1070425029_2.dat,8,1,यह,9,k1,Karta
train,train-s9,1070425029_2.dat,9,1,यह,7,k1,Karta
train,train-s10,1070425029_2.dat,10,4,यह,12,k1,Karta
train,train-s11,1070425029_2.dat,11,1,इसे,6,k2,Karma
train,train-s11,1070425029_2.dat,11,3,कोरिया,6,k1,Karta
train,train-s12,1070425029_2.dat,12,2,क्षेत्र,4,k7,Adhikarana
train,train-s12,1070425029_2.dat,12,13,सौंदर्य,18,k1,Karta
train,train-s12,1070425029_2.dat,12,14,इसे,18,k2,Karma
train,train-s13,1070425029_2.dat,13,1,यहीं,38,k7p,Adhikarana
train,train-s13,1070425029_2.dat,13,31,",",38,k1,Karta
train,train-s14,1070425029_2.dat,14,1,यह,15,k1,Karta
train,train-s15,1070425029_2.dat,15,1,यह,5,k1,Karta
train,train-s15,1070425029_2.dat,15,6,जो,17,k1,Karta
train,train-s15,1070425029_2.dat,15,8,एकड़,17,k7p,Adhikarana
train,train-s15,1070425029_2.dat,15,11,हिल्स,17,k7p,Adhikarana
train,train-s15,1070425029_2.dat,15,14,झील,17,k7p,Adhikarana
train,train-s16,1070425029_2.dat,16,1,यह,6,k1,Karta
train,train-s16,1070425029_2.dat,16,4,स्थल,6,k7p,Adhikarana
train,train-s16,1070425029_2.dat,16,8,विश्व,16,k7p,Adhikarana
train,train-s16,1070425029_2.dat,16,15,संग्रहालय,16,k1,Karta
train,train-s16,1070425029_2.dat,16,17,जो,25,k1,Karta
train,train-s16,1070425029_2.dat,16,22,गुफाओं,25,k7p,Adhikarana
train,train-s17,1070425029_2.dat,17,5,यह,13,k1,Karta
train,train-s18,1070425029_2.dat,18,1,यहाँ,15,k7p,Adhikarana
train,train-s18,1070425029_2.dat,18,13,नमूने,15,k2,Karma
train,train-s19,1070425029_2.dat,19,1,यहाँ,17,k7p,Adhikarana
train,train-s19,1070425029_2.dat,19,2,संग्रहालय,17,k7p,Adhikarana
train,train-s19,1070425029_2.dat,19,13,व,17,k2,Karma
train,train-s20,1070425029_2.dat,20,1,यहाँ,14,k7p,Adhikarana
train,train-s20,1070425029_2.dat,20,6,हिस्सों,14,k5,Apadana
train,train-s20,1070425029_2.dat,20,11,नमूने,13,k2,Karma
train,train-s21,1070425029_2.dat,21,1,संग्रहालय,5,k1,Karta
train,train-s22,1070425029_3.dat,1,1,यह,6,k1,Karta
train,train-s22,1070425029_3.dat,1,3,हिल्स,6,k7,Adhikarana
train,train-s23,1070425029_3.dat,2,5,संग्रहालय,6,k1,Karta
train,train-s23,1070425029_3.dat,2,7,जहाँ,23,k7p,Adhikarana
train,train-s23,1070425029_3.dat,2,17,जिलों,23,k5,Apadana
train,train-s23,1070425029_3.dat,2,21,नमूनों,23,k2,Karma
train,train-s24,1070425029_3.dat,3,2,संग्रहालय,15,k1,Karta
train,train-s25,1070425029_3.dat,4,5,पहाड़ी,11,k7p,Adhikarana
train,train-s25,1070425029_3.dat,4,9,उद्यान,11,k1,Karta
train,train-s26,1070425029_3.dat,5,1,यह,5,k1,Karta
train,train-s26,1070425029_3.dat,5,3,हैक्टेयर,5,k7p,Adhikarana
train,train-s27,1070425029_3.dat,6,2,सुंदरता,17,k7,Adhikarana
train,train-s27,1070425029_3.dat,6,5,आप,17,k1,Karta
train,train-s27,1070425029_3.dat,6,12,प्राणियों,14,k2,Karma
train,train-s28,1070425029_3.dat,7,1,यह,18,k1,Karta
train,train-s29,1070425029_3.dat,8,1,यह,7,k1,Karta
train,train-s29,1070425029_3.dat,8,8,जो,16,k1,Karta
train,train-s29,1070425029_3.dat,8,12,खूबसूरती,16,k7,Adhikarana
train,train-s30,1070425029_3.dat,9,1,यहाँ,7,k7p,Adhikarana
train,train-s30,1070425029_3.dat,9,6,गैलरी,7,k1,Karta
train,train-s30,1070425029_3.dat,9,13,प्लेनेटेरियम,15,k1,Karta
train,train-s31,1070425029_3.dat,10,1,यह,12,k1,Karta
train,train-s32,1070425029_3.dat,11,5,चौक,14,k7p,Adhikarana
train,train-s32,1070425029_3.dat,11,9,",",14,k1,Karta
train,train-s33,1070425029_3.dat,12,5,दुकानें,6,k1,Karta
train,train-s33,1070425029_3.dat,12,7,जिनमें,11,k7,Adhikarana
train,train-s33,1070425029_3.dat,12,10,खजाने,11,k1,Karta
train,train-s34,1070425029_3.dat,13,1,यहाँ,19,k7p,Adhikarana
train,train-s34,1070425029_3.dat,13,2,आप,19,k1,Karta
train,train-s34,1070425029_3.dat,13,12,और,19,k2,Karma
train,train-s34,1070425029_3.dat,13,17,अंदाज,19,k7,Adhikarana
train,train-s35,1070425029_3.dat,14,2,झील,10,k1,Karta
train,train-s35,1070425029_3.dat,14,4,झील,10,k5,Apadana
train,train-s35,1070425029_3.dat,14,7,ओवरब्रिज,10,k3,Karana
train,train-s36,1070425029_3.dat,15,4,क्लब,10,k1,Karta
train,train-s36,1070425029_3.dat,15,6,झील,10,k7p,Adhikarana
train,train-s37,1070425029_3.dat,16,2,झील,10,k7p,Adhikarana
train,train-s37,1070425029_3.dat,16,9,एक्वेरियम,10,k1,Karta
train,train-s39,1070425029_3.dat,18,5,और,14,k5,Apadana
train,train-s39,1070425029_3.dat,18,13,सेवा,14,k1,Karta
train,train-s40,1070425029_3.dat,19,1,भोपाल,9,k1,Karta
train,train-s40,1070425029_3.dat,19,7,लाइन,9,k7p,Adhikarana
train,train-s41,1070425029_3.dat,20,1,मुंबई,9,k5,Apadana
train,train-s41,1070425029_3.dat,20,7,रास्ते,9,k3,Karana
train,train-s41,1070425029_3.dat,20,12,गाड़ियाँ,15,k1,Karta
train,train-s41,1070425029_3.dat,20,13,भोपाल,14,k5,Apadana
train,train-s42,1070425029_3.dat,21,18,और,25,k7p,Adhikarana
train,train-s42,1070425029_3.dat,21,24,सेवाएँ,25,k1,Karta
train,train-s43,1070425029_3.dat,22,11,तथा,14,k1,Karta
train,train-s44,1070425029_3.dat,23,1,कब,2,k7p,Adhikarana
train,train-s45,1070425029_3.dat,24,5,आप,7,k1,Karta
train,train-s45,1070425029_3.dat,24,6,यहाँ,7,k7p,Adhikarana
train,train-s46,1070425031_1.dat,1,3,वैभव,8,k1,Karta
train,train-s46,1070425031_1.dat,1,4,पत्थरों,8,k7,Adhikarana
train,train-s46,1070425031_1.dat,1,12,समय,16,k1,Karta
train,train-s46,1070425031_1.dat,1,13,यहाँ,16,k7p,Adhikarana
train,train-s46,1070425031_1.dat,1,19,हम,20,k1,Karta
train,train-s46,1070425031_1.dat,1,24,बरस,20,k7,Adhikarana
train,train-s46,1070425031_1.dat,1,30,शहर,20,k7p,Adhikarana
train,train-s47,1070425031_1.dat,2,7,चमक,13,k2,Karma
train,train-s47,1070425031_1.dat,2,11,धुंध,13,k1,Karta
train,train-s48,1070425031_1.dat,3,7,शासकों,9,k1,Karta
train,train-s48,1070425031_1.dat,3,12,इमारतें,17,k1,Karta
train,train-s48,1070425031_1.dat,3,14,वैभव,17,k2,Karma
train,train-s49,1070425031_1.dat,4,1,ओरछा,12,k2,Karma
train,train-s49,1070425031_1.dat,4,9,प्रताप,12,k1,Karta
train,train-s50,1070425031_1.dat,5,4,राजाओं,16,k1,Karta
train,train-s50,1070425031_1.dat,5,8,और,10,k2,Karma
train,train-s50,1070425031_1.dat,5,12,शान,16,k7,Adhikarana
train,train-s51,1070425031_1.dat,6,1,जिनमें,9,k7,Adhikarana
train,train-s51,1070425031_1.dat,6,7,नाम,9,k1,Karta
train,train-s52,1070425031_1.dat,7,2,और,12,k7p,Adhikarana
train,train-s52,1070425031_1.dat,7,9,कलाकारी,10,k2,Karma
train,train-s53,1070425031_1.dat,8,10,कलात्मकता,16,k1,Karta
train,train-s53,1070425031_1.dat,8,15,कहानी,16,k2,Karma
train,train-s54,1070425031_1.dat,9,2,महल,17,k2,Karma
train,train-s54,1070425031_1.dat,9,6,जूदेव,17,k1,Karta
train,train-s55,1070425031_1.dat,10,10,छतरियाँ,14,k1,Karta
train,train-s55,1070425031_1.dat,10,19,इमारत,23,k1,Karta
train,train-s56,1070425031_1.dat,11,6,महल,13,k2,Karma
train,train-s56,1070425031_1.dat,11,11,शाह,13,k1,Karta
train,train-s57,1070425031_1.dat,12,1,अंदर,4,k7,Adhikarana
train,train-s57,1070425031_1.dat,12,2,धार्मिकता,4,k2,Karma
train,train-s57,1070425031_1.dat,12,11,कलाकृतियाँ,12,k1,Karta
train,train-s58,1070425034_2.dat,1,1,यह,12,k1,Karta
train,train-s58,1070425034_2.dat,1,7,और,12,k7p,Adhikarana
train,train-s59,1070425034_2.dat,2,2,यह,12,k2,Karma
train,train-s59,1070425034_2.dat,2,5,खिलजी,12,k1,Karta
train,train-s59,1070425034_2.dat,2,8,हरम,12,k7,Adhikarana
train,train-s60,1070425034_2.dat,3,9,और,18,k1,Karta
train,train-s60,1070425034_2.dat,3,13,शौक,18,k2,Karma
train,train-s61,1070425034_2.dat,4,4,इसे,8,k2,Karma
train,train-s61,1070425034_2.dat,4,6,महल,8,k7p,Adhikarana
train,train-s61,1070425034_2.dat,4,8,निहारना,11,k1,Karta
train,train-s62,1070425034_2.dat,5,1,यह,10,k2,Karma
train,train-s62,1070425034_2.dat,5,6,व्यवस्था,10,k7,Adhikarana
train,train-s63,1070425034_2.dat,6,6,दीवारें,8,k1,Karta
train,train-s63,1070425034_2.dat,6,8,झुकी,11,k1,Karta
train,train-s63,1070425034_2.dat,6,14,इसे,17,k2,Karma
train,train-s64,1070425034_2.dat,7,2,पत्थरों,11,k7,Adhikarana
train,train-s64,1070425034_2.dat,7,7,नमूना,11,k1,Karta
train,train-s64,1070425034_2.dat,7,8,यहाँ,9,k7p,Adhikarana
train,train-s65,1070425034_2.dat,8,4,स्तंभ,6,k1,Karta
train,train-s66,1070425034_2.dat,9,2,महल,10,k7p,Adhikarana
train,train-s66,1070425034_2.dat,9,9,भवन,10,k1,Karta
train,train-s66,1070425034_2.dat,9,11,जो,16,k1,Karta
train,train-s66,1070425034_2.dat,9,15,कहानी,16,k2,Karma
train,train-s67,1070425034_2.dat,12,1,यह,7,k1,Karta
train,train-s68,1070425034_2.dat,14,2,गुंबद,5,k5,Apadana
train,train-s68,1070425034_2.dat,14,6,शाहजहाँ,19,k1,Karta
train,train-s68,1070425034_2.dat,14,9,महल,10,k2,Karma
train,train-s68,1070425034_2.dat,14,16,विशेषज्ञों,19,k2,Karma
train,train-s69,1070425034_2.dat,16,3,गलियारा,8,k1,Karta
train,train-s69,1070425034_2.dat,16,5,और,8,k2,Karma
train,train-s70,1070425034_2.dat,17,1,इसे,10,k2,Karma
train,train-s70,1070425034_2.dat,17,4,महल,10,k7p,Adhikarana
train,train-s70,1070425034_2.dat,17,6,पानी,7,k2,Karma
train,train-s71,1070425034_2.dat,18,2,यह,9,k2,Karma
train,train-s71,1070425034_2.dat,18,5,स्थान,9,k7,Adhikarana
train,train-s72,1070425034_3.dat,1,1,यहाँ,8,k5,Apadana
train,train-s72,1070425034_3.dat,1,7,दृश्य,8,k2,Karma
train,train-s73,1070425034_3.dat,2,1,यह,12,k2,Karma
train,train-s73,1070425034_3.dat,2,6,क्षेत्र,9,k7p,Adhikarana
train,train-s74,1070425034_3.dat,3,3,इमारत,20,k5,Apadana
train,train-s74,1070425034_3.dat,3,12,मैदान,14,k7p,Adhikarana
train,train-s75,1070425034_3.dat,4,4,कि,1,k2,Karma
train,train-s75,1070425034_3.dat,4,14,जल,16,k2,Karma
train,train-s75,1070425034_3.dat,4,22,बहादुर,27,k1,Karta
train,train-s75,1070425034_3.dat,4,26,महल,27,k2,Karma
train,train-s76,1070425034_3.dat,5,1,यहाँ,5,k7p,Adhikarana
train,train-s76,1070425034_3.dat,5,4,मंदिर,5,k1,Karta
train,train-s76,1070425034_3.dat,5,6,जिसमें,7,k7,Adhikarana
train,train-s76,1070425034_3.dat,5,10,अंदर,12,k7p,Adhikarana
train,train-s76,1070425034_3.dat,5,11,सीढ़ी,12,k2,Karma
train,train-s77,1070425034_3.dat,6,4,सौंदर्य,10,k2,Karma
train,train-s77,1070425034_3.dat,6,6,शब्दों,10,k7,Adhikarana
train,train-s78,1070425034_3.dat,7,1,ऊपर,4,k7p,Adhikarana
train,train-s78,1070425034_3.dat,7,2,पेड़ों,4,k2,Karma
train,train-s78,1070425034_3.dat,7,5,तालाब,14,k5,Apadana
train,train-s78,1070425034_3.dat,7,8,धार,14,k1,Karta
train,train-s78,1070425034_3.dat,7,9,नीचे,13,k7p,Adhikarana
train,train-s79,1070425034_3.dat,8,8,निर्माण,19,k2,Karma
train,train-s79,1070425034_3.dat,8,11,खान,19,k1,Karta
train,train-s80,1070425034_3.dat,9,2,दीवारों,9,k7p,Adhikarana
train,train-s80,1070425034_3.dat,9,8,नमूने,9,k2,Karma
train,train-s81,1070425034_3.dat,10,24,और,29,k1,Karta
train,train-s82,1070425034_3.dat,11,1,यहाँ,8,k7p,Adhikarana
train,train-s82,1070425034_3.dat,11,3,पॉइंट,8,k7p,Adhikarana
train,train-s82,1070425034_3.dat,11,7,भीड़,8,k1,Karta
train,train-s83,1070425034_3.dat,12,3,और,12,k1,Karta
train,train-s83,1070425034_3.dat,12,10,पर्यटकों,12,k2,Karma
train,train-s85,1070425034_3.dat,14,2,किमी.,9,k7,Adhikarana
train,train-s85,1070425034_3.dat,14,6,अड्डा,9,k1,Karta
train,train-s85,1070425034_3.dat,14,10,जो,17,k1,Karta
train,train-s86,1070425034_3.dat,15,8,और,17,k5,Apadana
train,train-s86,1070425034_3.dat,15,13,सेवा,17,k3,Karana
train,train-s86,1070425034_3.dat,15,15,यहाँ,17,k7p,Adhikarana
train,train-s87,1070425034_3.dat,16,3,मुख्यालय,14,k1,Karta
train,train-s87,1070425034_3.dat,16,12,लाइन,14,k7p,Adhikarana
train,train-s87,1070425034_3.dat,16,16,इंदौर,22,k1,Karta
train,train-s87,1070425034_3.dat,16,20,दूरी,22,k7p,Adhikarana
train,train-s89,1070425034_3.dat,18,1,जुलाई,3,k5,Apadana
train,train-s89,1070425034_3.dat,18,7,समय,13,k1,Karta
train,train-s89,1070425034_3.dat,18,8,यहाँ,9,k7p,Adhikarana
train,train-s90,1070425034_3.dat,20,3,यहाँ,7,k7,Adhikarana
train,train-s90,1070425034_3.dat,20,6,मेला,7,k1,Karta
train,train-s91,1070425056_1.dat,1,2,पहाड़ी,11,k7p,Adhikarana
train,train-s91,1070425056_1.dat,1,10,किला,11,k1,Karta
train,train-s91,1070425056_1.dat,1,12,जिसे,13,k2,Karma
train,train-s91,1070425056_1.dat,1,17,शासक,25,k1,Karta
train,train-s91,1070425056_1.dat,1,19,तलहटी,25,k7p,Adhikarana
train,train-s91,1070425056_1.dat,1,24,घेरा,25,k2,Karma
train,train-s92,1070425056_1.dat,2,2,युद्ध,3,k2,Karma
train,train-s92,1070425056_1.dat,2,16,साक्षी,17,k1,Karta
train,train-s92,1070425056_1.dat,2,19,किला,29,k1,Karta
train,train-s92,1070425056_1.dat,2,27,पहाड़ी,29,k7p,Adhikarana
train,train-s93,1070425056_1.dat,3,2,तलहटी,10,k7p,Adhikarana
train,train-s93,1070425056_1.dat,3,6,क्षेत्र,10,k7,Adhikarana
train,train-s93,1070425056_1.dat,3,9,जंगल,10,k1,Karta
train,train-s93,1070425056_1.dat,3,11,जो,16,k1,Karta
train,train-s94,1070425056_1.dat,4,1,यहाँ,23,k7p,Adhikarana
train,train-s94,1070425056_1.dat,4,15,और,23,k1,Karta
train,train-s94,1070425056_1.dat,4,21,संख्या,23,k7,Adhikarana
train,train-s95,1070425056_1.dat,5,2,और,5,k7,Adhikarana
train,train-s95,1070425056_1.dat,5,8,सिंहद्वार,13,k7p,Adhikarana
train,train-s95,1070425056_1.dat,5,12,सड़क,13,k1,Karta
train,train-s97,1070425056_1.dat,7,1,किले,24,k7p,Adhikarana
train,train-s97,1070425056_1.dat,7,23,अवशेष,24,k2,Karma
train,train-s98,1070425056_1.dat,8,4,मंदिर,12,k1,Karta
train,train-s98,1070425056_1.dat,8,13,जहाँ,20,k7p,Adhikarana
train,train-s98,1070425056_1.dat,8,19,मेला,20,k1,Karta
train,train-s99,1070425056_1.dat,9,1,लोग,7,k1,Karta
train,train-s99,1070425056_1.dat,9,2,पैदल,7,k3,Karana
train,train-s100,1070425056_1.dat,10,8,गोविंदा,13,k1,Karta
train,train-s100,1070425056_1.dat,10,10,इस,13,k7,Adhikarana
train,train-s101,1070425056_1.dat,11,5,बागभट्ट,13,k1,Karta
train,train-s101,1070425056_1.dat,11,7,किले,9,k7p,Adhikarana
train,train-s101,1070425056_1.dat,11,10,शहर,13,k2,Karma
train,train-s102,1070425056_1.dat,12,7,हमीर,10,k1,Karta
train,train-s102,1070425056_1.dat,12,8,यहाँ,10,k7p,Adhikarana
train,train-s103,1070425056_1.dat,13,5,खिलजी,15,k1,Karta
train,train-s103,1070425056_1.dat,13,9,आक्रमण,10,k2,Karma
train,train-s103,1070425056_1.dat,13,11,इसे,12,k2,Karma
train,train-s104,1070425056_1.dat,14,6,घेरा,7,k2,Karma
train,train-s104,1070425056_1.dat,14,10,इसे,11,k2,Karma
train,train-s105,1070425056_1.dat,15,8,राज,10,k1,Karta
train,train-s106,1070425056_1.dat,16,2,विजेताओं,10,k1,Karta
train,train-s106,1070425056_1.dat,16,7,दीवार,10,k2,Karma
train,train-s107,1070425056_1.dat,17,3,शासकों,10,k1,Karta
