sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s1038,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,मनुष्य,conj,iobj,,को,,R5,no_decision,ambiguous,deprel changed conj to iobj; case marker changed empty to को
dev-s1098,गोस्वामी कैंप ने महंत को दरकिनार कर दिया है ।,महंत,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s1133,सरकार के रवैये से नाराज संसद की स्थाई समिति ने खाली पदों को न भरने पर मंत्रालय को फटकार लगाई है ।,मंत्रालय,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
dev-s1151,तब जम्मू डिवीजन और अनंतनाग से तकरीबन 6 हजार जवानों को वापस बुला लिया गया था ।,जवानों,nsubj:pass,obj,को,को,,R5,no_decision,ambiguous,deprel changed nsubj:pass to obj
dev-s1180,उन्होंने बताया कि आमतौर पर चक्रवात या बाढ़ आने पर मछुआरों को मछलियाँ ज्यादा मिलती हैं ।,मछुआरों,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
dev-s1211,"अल्पसंख्यकों के हितों के लिए काम करने और विश्व का ध्यान उनकी समस्याओं की ओर खींचने के लिए श्रीलंका, पाकिस्तान और बांग्लादेश के अल्पसंख्यक समुदायों ने कोशिशें तेज कर दी हैं, लेकिन नेपाल को लेकर आशंका अब भी बनी हुई है ।",नेपाल,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s1223,वायुसेना के उपाध्यक्ष एअर मार्शल एस. के. मलिक ने २४ स्क्वॅड्रन से एसयू - ३० को और आगरा स्थित मिड एअर रीफ्यूलिंग स्क्वॅड्रन से आईएल - ७८ को झंडी दिखा कर रवाना किया ।,७८,conj,iobj,को,को,,R5,no_decision,ambiguous,deprel changed conj to iobj
dev-s124,उन्होंने कहा कि इसके पीछे पाकिस्तान और उसके परमाणु कार्यक्रम को निशाना बनाने का उद्देश्य छिपा हुआ है ।,कार्यक्रम,conj,obj,को,को,,R5,no_decision,ambiguous,deprel changed conj to obj
dev-s1284,जब यह मामला उठा तो उस समय कांग्रेस के कम सांसद सदन में थे लेकिन उनकी मदद को रेल मंत्री लालू प्रसाद यादव व राजद के सांसद फौरन आगे आए ।,मदद,obl,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed obl to obj
dev-s1341,सोनिया गांधी ने उम्मीद जताई कि सदन को उनके मार्गदर्शन और अनुभव का लाभ मिलता रहेगा ।,सदन,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
dev-s1496,लेकिन अंतर्राष्ट्रीय स्तर की कोई तकनीक न होने के कारण अकसर अधिकारियों को मिलावट करने वाले के खिलाफ कार्रवाई करने में दिक्कत होती थी ।,अधिकारियों,nsubj,obj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to obj
dev-s1612,भारत जल्द ही विदेशों में काम कर रहे भारतीय नागरिकों को पेश आ रही आव्रजन संबंधी समस्याओं और स्वदेश में वापसी की निवेश योजनाओं में सहयोग के लिए पाँच देशों में विशेष कार्यालय खोलेगा ।,नागरिकों,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
dev-s1623,पिछले 12 सालों के दौरान ओजोन परत को नुकसान पहुँचाने वाले 11 हजार टन उत्पादों तथा क्षीर्ण करने वाले 12 हजार टन तत्वों को खत्म किया गया ।,तत्वों,conj,obj,को,को,,R5,no_decision,ambiguous,deprel changed conj to obj
dev-s1625,इस अवसर पर उन्होंने वनों एवं परती भूमि के विकास के लिए 21 लोगों और संस्थाओं को इंदिरा प्रियदर्शिनी वृक्ष मित्र पुरस्कार भी प्रदान किए ।,लोगों,iobj,iobj,,को,,R5,mapping_hypothesis,ambiguous,case marker changed empty to को
dev-s1635,अगर किसानों को लगातार बिजली मिले तो वे इसकी क़ीमत चुकाने को तैयार होंगे ।,किसानों,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
dev-s1659,"मंगलवार को नक्सली संगठन पीपुल्स वार ग्रुप ने संघर्ष विराम, इसके लागू होने पर पड़ने वाले प्रभाव का अध्ययन करने के लिए कमेटी बनाने और इसके प्रतिनिधियों को वार्ता में भाग लेने के लिए सुरक्षा देने की माँग की थी ।",प्रतिनिधियों,nsubj,iobj,को,को,,R5,mapping_hypothesis,ambiguous,deprel changed nsubj to iobj
