sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s119,"शरीफ ने कहा कि तब वाजपेयी ने मुझसे कहा था कि वे वर्ष, १९९९ को कश्मीर समस्या के समाधान वर्ष के रूप में याद करना चाहेंगे ।",१९९९,obj,obl,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed obj to obl
dev-s1327,पंजाब विधानसभा के पूर्व स्पीकर और शिरोमणि अकाली दल के सांसद व दलित नेता चरणजीत सिंह अटवाल को लोकसभा के उपाध्यक्ष पद पर सर्वसम्मति से चुन लिया गया है ।,अटवाल,obj,conj,को,को,R5,,ambiguous,no_decision,deprel changed obj to conj
dev-s1395,"बुश ने कहा था कि वह कश्मीर मुद्दे पर मध्यस्थता नहीं करेंगे, लेकिन समस्या के हल के लिए दोनों देशों को लगातार प्रोत्साहित करते रहेंगे ।",देशों,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s1415,उन्होंने सदन को आश्वस्त किया कि पाठक की जांच रिपोर्ट और उस पर कार्यवाही रिपोर्ट को सरकार सदन के पटल पर रखेगी ।,रिपोर्ट,obj,obj,को,,R5,,ambiguous,mapping_hypothesis,case marker changed को to empty
dev-s1446,अगर अल्लाह के शुक्र से इस समस्या का समाधान हो गया तो सभी जेहादी संगठनों को बोरिया बिस्तर बांधना होगा ।,संगठनों,obj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed obj to nsubj
dev-s1548,इस प्रस्ताव में जिस तरह से भाजपा ने जिन्ना को हिंदू - मुस्लिम धर्म के आधार पर भारत पाकिस्तान विभाजन का जिम्मेदार ठहराया है उससे संघ की विचारधारा की जीत हुई है पर विहिप को निराशा ही हाथ लगी है ।,विहिप,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s1569,"लेकिन, अब वे 5,000 रुपये ले सकते हैं जिसे कर्मचारियों द्वारा विभाग को दस आसान किश्तों में वापस लौटाना होगा ।",विभाग,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s1588,बाद में इसकी एकल निविदा आयोजित की गई ताकि भाजपा सांसदों और भाजपा से करीबी रहने वाले लोगों को इन्हें खरीदने में आसानी हो ।,लोगों,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
dev-s1600,उन्होंने कहा कि लालू प्रसाद यादव की राजद के नेतृत्व वाले कांग्रेस व एनसीपी गठबंधन को माकपा समर्थन दे रही है ।,गठबंधन,iobj,conj,को,को,R5,,ambiguous,no_decision,deprel changed iobj to conj
dev-s1603,जेल में बंद विवादास्पद राजद सांसद सैयद शहाबुद्दीन को एक और झटका लगा है ।,शहाबुद्दीन,iobj,nsubj,को,को,R5,,ambiguous,mapping_hypothesis,deprel changed iobj to nsubj
