sent_id,sentence_text,token_form,gold_deprel,stanza_deprel,gold_case_marker,stanza_case_marker,gold_verifier_rule_id,stanza_verifier_rule_id,gold_final_decision,stanza_final_decision,diagnosis
dev-s1038,रासायनिक खादों से भूमि व मनुष्य को होने वाले नुकसान को दरकिनार करते हुए नार्मन ने कहा कि अगर केमिकल फर्टीलाईज़र न हों तो अन्न को लेकर दुनिया में अफरा - तफरी उत्पन्न हो जाएगी ।,खादों,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s1102,फूकन भी पार्टी में अपनी उपेक्षा से आहत हैं ।,उपेक्षा,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s1122,ये आदिवासी अबुझमादिया समुदाय से संबंधित हैं ।,समुदाय,obl,nmod,से,से,R4,,ambiguous,no_decision,deprel changed obl to nmod
dev-s1161,गौरतलब है कि जेल प्रशासन ने जब इस बाहुबली नेता को उनसे मिलने आए लोगों से भेंट नहीं करने दी तो शनिवार को उन्होंने जेलकर्मियों को परिणाम भुगतने की धमकी दी ।,लोगों,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s1231,उन्होंने कहा कि हमारे वायुसेनाकर्मी फ्रांस के अनुभवों से सीख रहे हैं ।,अनुभवों,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s130,शंकररमन हत्याकांड के सिलसिले में ११ नवंबर को गिरफ्तार होने के बाद से शंकराचार्य न्यायिक हिरासत में हैं और वेल्लूर जेल में बंद हैं ।,होने,obl,obl,से,,R4,,ambiguous,mapping_hypothesis,case marker changed से to empty
dev-s1319,माकपा के खिलाफ शिकायतों और आरोपों का पिटारा लेकर चुनाव आयोग पहुंची ममता ने चुनाव आयोग से इस मामले की जांच के लिए विशेष पर्यवेक्षक भेजने की मांग की है ।,आयोग,obl,iobj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to iobj
dev-s132,"परमाचार्य के दिसंबर १९९३ में मुक्ति प्राप्त करने के बाद से हर वर्ष आराधना समारोह आयोजित किया जाता है, जिसमें बड़ी संख्या में श्रद्धालु हिस्सा लेते हैं ।",करने,obl,obl,से,,R4,,ambiguous,mapping_hypothesis,case marker changed से to empty
dev-s1355,वित्त मंत्री इस पैकेज को लागू करने के लिए निगरानी संबंधी कोई आयोग गठित करने के सुझाव से सहमत नहीं हुए ।,सुझाव,obl,obj,से,से,R4,,ambiguous,mapping_hypothesis,deprel changed obl to obj
dev-s1376,याचिका के माध्यम से मामले के एक गवाह हरीश दुलानी को बुलाने की मांग की गई थी ।,माध्यम,obl,case,से,,R4,,ambiguous,no_decision,deprel changed obl to case; case marker changed से to empty
